code|name|sec|day|time|room|lecturer
127400|Independent Studies in Political Science การวิจัยค้นคว้าอิสระทางรัฐศาสตร์|010|TBA|TBA-TBA - -|TBA|มาลินี คุ้มสุภา
127400|Independent Studies in Political Science การวิจัยค้นคว้าอิสระทางรัฐศาสตร์|011|TBA|TBA-TBA - -|TBA|ชนินทร เพ็ญสูตร
751419|Economic Theory and Entrepreneurship ทฤษฎีเศรษฐศาสตร์และการประกอบการ|701|TuF|1100-1230 - -|ECB.3202|พิฑูร ธนบดีกิจ
255463|Ergonomics การยศาสตร์|001|TuF|0930-1100 - -|บรรยาย 9|นิวิท เจริญใจ
255463|Ergonomics การยศาสตร์|801|TuF|0930-1100 - -|บรรยาย 9|นิวิท เจริญใจ
006332|Design Presentation การนำเสนองานออกแบบ|001|MTh|1300-1430 - -|TBA|ทรงพันธ์ ตันตระกูล
008325|Food and Beverage Service การบริการอาหารและเครื่องดื่ม 008325 มี Lab พ่วง|801|Fr|1630-1930 - -|HB7306|อนัญญา รัตนประเสริฐ
751820|Game Theory ทฤษฎีเกมส์|701|TBA|0000-0000 - -|TBA|เริงชัย ตันสุชาติ
127717|Concepts and Theories of Contemporary Comparative Politics แนวคิดและทฤษฎีการเมืองเปรียบเทียบร่วมสมัย|001|Th|0900-1200 - -|PSB 1303|ณัฐพล ตันตระกูลทรัพย์
127717|Concepts and Theories of Contemporary Comparative Politics แนวคิดและทฤษฎีการเมืองเปรียบเทียบร่วมสมัย Class period 6 Sept. 2025 to 19 Oct. 2025|801|Sa|0830-1700 - -|PSB 1308|ภาณุวัฒน์ พันธุ์ประเสริฐ Co-Instruc ราม โชติคุต
128356|Governance of the People’s Republic of China การบริหารปกครองสาธารณรัฐประชาชนจีน|001|MTh|1300-1430 - -|PSB 1208|อรชร แซ่จาง
104333|Traditional Thai Painting จิตรกรรมไทยประเพณี|001|Th|1300-1800 - -|ห้องจิตรกรรมไทย|อัศวิณีย์ หวานจริง Co-Instruc สากล สุทธิมาลย์
851202|Creative Content Writing การเขียนเนื้อหาสร้างสรรค์|001|MTh|0800-0930 - -|MCB2305|พิสิทธิ์ ศรีประเสริฐ Co-Instruc คณาจารย์ สุนันทา แย้มทัพ
851202|Creative Content Writing การเขียนเนื้อหาสร้างสรรค์|002|TuF|0800-0930 - -|MCB2305|พิสิทธิ์ ศรีประเสริฐ Co-Instruc คณาจารย์ สุนันทา แย้มทัพ
851202|Creative Content Writing การเขียนเนื้อหาสร้างสรรค์|003|MTh|1100-1230 - -|TBA|พิสิทธิ์ ศรีประเสริฐ Co-Instruc คณาจารย์ สุนันทา แย้มทัพ
031101|Fundamental Bahasa Indonesia 1 ภาษาอินโดนีเซียพื้นฐาน 1|001|MTh|0930-1100 - -|HB7710|ษุฮัยลี โสะนุ้ย
031101|Fundamental Bahasa Indonesia 1 ภาษาอินโดนีเซียพื้นฐาน 1|002|MTh|1100-1230 - -|HB7|ษุฮัยลี โสะนุ้ย
006242|Community Resources Management การจัดการทรัพยากรชุมชน|001|MTh|0930-11 - -|HB7306|ธงชัย ภูวนาถวิจิตร
011355|Philosophy of Wealth ปรัชญาความมั่งคั่ง|001|TuF|1430-1600 - -|HB5310|ปรุตม์ บุญศรีตัน
177322|Law on Business Organizations กฎหมายองค์กรทางธุรกิจ|001|MTh|1430-1600 - -|LB1401|ณัฐพงศ์ สุวรรณอินทร์
177322|Law on Business Organizations กฎหมายองค์กรทางธุรกิจ|002|MTh|1430-1600 - -|LB1403|นวพร เสนีย์วงศ์ ณ อยุธยา
177322|Law on Business Organizations กฎหมายองค์กรทางธุรกิจ|003|Fr|1630-1930 - -|LB1402|ชัยณรงค์ เหลืองวิลัย
177322|Law on Business Organizations กฎหมายองค์กรทางธุรกิจ|801|Fr|1630-1930 - -|LB1403|ณัฐพงศ์ สุวรรณอินทร์
177322|Law on Business Organizations กฎหมายองค์กรทางธุรกิจ|802|Fr|1630-1930 - -|LB1402|ชัยณรงค์ เหลืองวิลัย
751800|Computational Statistics สถิติเชิงคำนวณ|701|TBA|000-000 - -|TBA|เริงชัย ตันสุชาติ
